alcaldia,fechaingreso,areadato,gestionpor,clasedato,datoespecifico,tipovalordato,valordato,parroquia
Miranda,10-21-26,10,1,2,Falla masiva servicio internet,3,FALSE,Miranda
Montalbán,10-22-26,7,2,1,Falla de motor camión basura,3,TRUE,Montalbán
San Joaquín,10-23-26,11,1,2,Inspección de paradas transporte,2,Cumple norma,San Joaquín
Valencia,10-24-26,12,3,4,Socavamiento por lluvia intensa,5,"10.1588, -68.0044",Miguel Peña
Puerto Cabello,10-25-26,3,1,1,Restablecimiento alumbrado público,3,TRUE,Juan José Flores
Naguanagua,10-26-26,2,2,2,Limpieza de quebrada El Retobo,2,Atendido,Naguanagua
Guacara,10-27-26,8,1,3,Dosis de insulina distribuidas,1,150,Guacara
San Diego,10-28-26,5,3,1,Avería en seccionador de media,3,TRUE,San Diego
Bejuma,10-29-26,1,1,2,Control de turbidez salida pozo,2,Bajo límite,Bejuma
Carlos Arvelo,10-30-26,6,2,4,Plaza Bolívar remodelación,5,"10.0244, -67.7855",Güigüe
Diego Ibarra,10-31-26,10,1,1,Caída de fibra óptica aérea,3,TRUE,Aguas Calientes
J. Iturriza,11-01-26,11,3,2,Estado de terminal de pasajeros,2,Operativo,Urama
Libertador,11-02-26,3,1,3,Luminarias LED instaladas mes,1,142,Tocuyito
Los Guayos,11-03-26,1,2,1,Fuga de agua potable calle 4,3,TRUE,Los Guayos
Miranda,11-04-26,5,1,4,Ubicación transformador 50kVA,5,"10.1444, -68.3844",Miranda
Montalbán,11-05-26,9,3,1,Patrullaje zona comercial nocturno,4,11-10-26,Montalbán
San Joaquín,11-06-26,12,1,2,Nivelación de terreno vía sur,2,En proceso,San Joaquín
Valencia,11-07-26,8,2,1,Suministro de oxígeno ambulatorio,3,TRUE,Santa Rosa
Puerto Cabello,11-08-26,1,3,3,Metros cúbicos captación diaria,1,5200,Patanemo
Naguanagua,11-09-26,7,1,2,Mantenimiento de vertedero local,2,Ejecutado,Naguanagua
Guacara,11-10-26,2,2,4,Colector de lluvia obstruido,5,"10.2288, -67.8855",Guacara
Valencia,11-11-26,5,1,1,Explosión de transformador 37.5kVA,3,TRUE,San José
Puerto Cabello,11-12-26,1,3,3,Presión de entrada Planta Pao,1,42,Patanemo
Naguanagua,11-13-26,12,1,4,Bacheo preventivo Av. Universidad,5,"10.2833, -68.0112",Naguanagua
Guacara,11-14-26,3,2,2,Sustitución de luminarias quemadas,1,24,Guacara
San Diego,11-15-26,8,1,1,Jornada de despistaje hipertensión,4,11-20-26,San Diego
Bejuma,11-16-26,7,3,2,Falla en prensa de compactadora,3,TRUE,Canoabo
Carlos Arvelo,11-17-26,4,1,3,Censo de infraestructura escolar,1,12,Güigüe
Diego Ibarra,11-18-26,2,2,1,Obstrucción de colector marginal,3,TRUE,Mariara
J. Iturriza,11-19-26,10,1,2,Prueba de señal repetidora 4G,2,Excelente,Morón
Libertador,11-20-26,9,3,1,Punto de control vial nocturno,5,"10.2122, -68.0244",Tocuyito
Los Guayos,11-21-26,1,1,2,Reparación de válvula de 6'',2,Completado,Los Guayos
Miranda,11-22-26,11,2,3,Unidades de transporte activas,1,8,Miranda
Montalbán,11-23-26,5,1,4,Poste de alta tensión inclinado,5,"10.2100, -68.3200",Montalbán
San Joaquín,11-24-26,12,3,1,Plan de bacheo calle principal,4,12-01-26,San Joaquín
Valencia,11-25-26,3,2,2,Limpieza de cajas de control LED,2,En proceso,Miguel Peña
Puerto Cabello,11-26-26,1,1,3,Nivel de turbidez agua cruda,1,4.5,Goaigoaza
Naguanagua,11-27-26,6,1,1,Poda de seguridad árboles secos,3,TRUE,Naguanagua
Guacara,11-28-26,5,2,1,Falla de fase en sector El Toco,3,TRUE,Yagua
San Diego,11-29-26,8,3,2,Dotación de nebulizadores CDI,1,5,San Diego
Bejuma,11-30-26,2,1,3,Nivel de rebose alcantarillado,1,15,Bejuma
Carlos Arvelo,12-01-26,12,1,4,Falla de borde vía Belén,5,"10.0211, -67.7811",Belén
Diego Ibarra,12-02-26,1,3,1,Mantenimiento motor pozo 4,4,12-05-26,Aguas Calientes
J. Iturriza,12-03-26,9,1,2,Incidencia por ruidos molestos,2,Atendido,Urama
Libertador,12-04-26,4,2,1,Rehabilitación de cancha escolar,3,TRUE,Independencia
Los Guayos,12-05-26,3,1,4,Punto ciego de alumbrado público,5,"10.1911, -67.9400",Los Guayos
Miranda,12-06-26,7,1,3,Tonelaje desechos sólidos/día,1,14.2,Miranda
Montalbán,12-07-26,8,2,1,Falta de especialistas guardia,3,FALSE,Montalbán
San Joaquín,12-08-26,10,1,2,Intermitencia enlace microondas,2,Reportado,San Joaquín
Valencia,12-09-26,12,3,3,Metros de asfalto caliente,1,120,Rafael Urdaneta
Puerto Cabello,12-10-26,5,1,1,Transformador de pedestal dañado,3,TRUE,Borburata
Naguanagua,12-11-26,1,2,2,Limpieza de tanque de rebombeo,2,Finalizado,Naguanagua
Guacara,12-12-26,3,1,4,Foco de luz encendido 24h,5,"10.2311, -67.8922",Guacara
San Diego,12-13-26,11,1,2,Revisión de frenos flota bus,2,Apto,San Diego
Bejuma,12-14-26,5,3,3,Amperaje medido en tablero,1,115,Simón Bolívar
Carlos Arvelo,12-15-26,1,1,1,Fuga en tubería de 4 pulgadas,3,TRUE,Tacarigua
Diego Ibarra,12-16-26,7,2,4,Ubicación de parada de aseo,5,"10.2911, -67.7122",Mariara
J. Iturriza,12-17-26,4,1,2,Estado de techos biblioteca,2,Filtración,Morón
Libertador,12-18-26,8,3,1,Campaña de vacunación fiebre,4,12-22-26,Tocuyito
Los Guayos,12-19-26,12,1,1,Hundimiento calle Los Olivos,3,TRUE,Los Guayos
Miranda,12-20-26,1,3,3,Litros por segundo entregados,1,140,Miranda
Montalbán,12-21-26,3,1,2,Recuperación de brazo de poste,2,Instalado,Montalbán
San Joaquín,12-22-26,9,2,1,Recuperación de moto policial,3,TRUE,San Joaquín
Valencia,12-23-26,2,1,4,Boca de visita sin tapa,5,"10.1655, -68.0011",Santa Rosa
Puerto Cabello,12-24-26,5,2,3,Caída de tensión sector norte,1,98,Bartolomé Salom
Naguanagua,12-25-26,10,1,1,Corte de fibra por poda,3,TRUE,Naguanagua
Guacara,12-26-26,11,3,2,Ajuste de tarifa transporte,2,Aplicado,Ciudad Alianza
San Diego,12-27-26,1,1,3,Nivel de tanque principal,1,65,San Diego
Bejuma,12-28-26,6,2,1,Desmalezado de plaza principal,3,TRUE,Bejuma
Carlos Arvelo,12-29-26,3,1,4,Luminaria LED quemada,5,"10.0211, -67.7844",Güigüe
Diego Ibarra,12-30-26,8,1,2,Ingreso por traumatología,2,3 casos,Mariara
J. Iturriza,12-31-26,1,3,2,Instalación de ventosa de aire,2,Finalizado,Urama
Libertador,01-01-27,12,1,1,Remoción de escombros vía,3,TRUE,Independencia
Los Guayos,01-02-27,5,2,4,Transformador en cortocircuito,5,"10.1911, -67.9422",Los Guayos
Miranda,01-03-27,4,1,3,Asistencia docente promedio,1,98,Miranda
Montalbán,01-04-27,1,3,1,Limpieza de desarenador,4,01-10-27,Montalbán
San Joaquín,01-05-27,3,1,3,Luminarias encendidas de día,1,5,San Joaquín
Valencia,01-06-27,7,1,2,Plan de recolección especial,2,En curso,Candelaria
Puerto Cabello,01-07-27,2,2,1,Sifonamiento de cloaca centro,3,TRUE,Fraternidad
Naguanagua,01-08-27,9,3,3,Denuncias por hurto de piezas,1,8,Naguanagua
Guacara,01-09-27,10,1,4,Ubicación de nodo de red,5,"10.2244, -67.8811",Guacara
Valencia,01-10-27,3,1,1,Sustitución de transformador 50kVA,3,TRUE,San José
Puerto Cabello,01-11-27,1,3,3,Presión en aducción principal,1,48,Unión
Naguanagua,01-12-27,12,1,4,Bacheo con mezcla asfáltica caliente,5,"10.2833, -68.0111",Naguanagua
Guacara,01-13-27,5,2,2,Mantenimiento preventivo subestación,2,Ejecutado,Yagua
San Diego,01-14-27,8,1,3,Pacientes atendidos en triaje,1,34,San Diego
Bejuma,01-15-27,4,1,1,Reparación de filtración en techo escolar,3,TRUE,Canoabo
Carlos Arvelo,01-16-27,7,3,1,Falla mecánica en compactadora N2,3,TRUE,Güigüe
Diego Ibarra,01-17-27,2,1,4,Limpieza de colector de aguas negras,5,"10.2811, -67.7000",Mariara
J. Iturriza,01-18-27,10,2,2,Restablecimiento de enlace de fibra,2,Operativo,Morón
Libertador,01-19-27,9,1,1,Patrullaje preventivo sectorial,3,TRUE,Tocuyito
Los Guayos,01-20-27,1,1,3,Litros por segundo salida pozo,1,18,Los Guayos
Miranda,01-21-27,11,3,2,Inspección de transporte público,2,Sin novedades,Miranda
Montalbán,01-22-27,3,1,4,Poste con cortocircuito en cruceta,5,"10.2111, -68.3211",Montalbán
San Joaquín,01-23-27,12,2,1,Remoción de sedimentos en vía,3,TRUE,San Joaquín
Valencia,01-24-27,5,1,3,Voltaje medido en baja tensión,1,112,Rafael Urdaneta
Puerto Cabello,01-25-27,8,3,1,Jornada de fumigación contra dengue,4,01-30-27,Fraternidad
Naguanagua,01-26-27,1,1,2,Instalación de clorador automático,2,Completado,Naguanagua
Guacara,01-27-27,6,1,1,Poda de árboles en tendido eléctrico,3,TRUE,Ciudad Alianza
San Diego,01-28-27,9,2,4,Ubicación de módulo policial nuevo,5,"10.2544, -67.9400",San Diego
Bejuma,01-29-27,7,1,3,Toneladas de basura recolectadas,1,12.8,Bejuma
Carlos Arvelo,01-30-27,5,2,1,Falla de fase en Red Centro,3,TRUE,Tacarigua
Diego Ibarra,01-31-27,3,1,2,Sustitución de balasto y arrancador,2,Atendido,Aguas Calientes
J. Iturriza,02-01-27,11,1,1,Falta de unidades de transporte,3,TRUE,Urama
Libertador,02-02-27,4,3,2,Dotación de pupitres nuevos,2,25 unidades,Independencia
Los Guayos,02-03-27,12,1,4,Reparación de acera Av. Principal,5,"10.1833, -67.9311",Los Guayos
Miranda,02-04-27,1,2,1,Fuga en aducción de 8 pulgadas,3,TRUE,Miranda
Montalbán,02-05-27,8,1,2,Control de niños sanos (cifra),1,15,Montalbán
San Joaquín,02-06-27,10,3,1,Falla de repetidora de radio,3,FALSE,San Joaquín
Valencia,02-07-27,2,1,2,Sondeo de tubería de drenaje,2,En curso,Santa Rosa
Puerto Cabello,02-08-27,3,1,4,Luminaria LED intermitente,5,"10.4711, -68.0122",Democracia
Naguanagua,02-09-27,5,2,3,Carga en amperios fase B,1,145,Naguanagua
Guacara,02-10-27,1,3,2,Lavado de filtros planta potabilizadora,2,Finalizado,Guacara
San Diego,02-11-27,7,1,1,Retraso en ruta de aseo urbano,3,TRUE,San Diego
Bejuma,02-12-27,8,2,4,Ubicación de ambulatorio rural,5,"10.1700, -68.2311",Simón Bolívar
Carlos Arvelo,02-13-27,11,1,3,Pasajeros movilizados terminal,1,420,Belén
Diego Ibarra,02-14-27,1,1,1,Rotura de tubería por vibración,3,TRUE,Mariara
J. Iturriza,02-15-27,12,3,1,Escarificación de carpeta asfáltica,4,02-20-27,Morón
Libertador,02-16-27,5,1,2,Pintura de postes de iluminación,2,Iniciado,Tocuyito
Los Guayos,02-17-27,3,3,3,Bombillos LED recuperados,1,45,Los Guayos
Miranda,02-18-27,4,1,2,Estado de infraestructura deportiva,2,Bueno,Miranda
Montalbán,02-19-27,9,2,4,Punto de control de tránsito,5,"10.2144, -68.3244",Montalbán
San Joaquín,02-20-27,1,3,3,Porcentaje de cloro residual,1,0.8,San Joaquín
Valencia,02-21-27,6,1,1,Poda de arbustos medianas,3,TRUE,Candelaria
Puerto Cabello,02-22-27,2,2,4,Colapso de alcantarilla muelle,5,"10.4822, -68.0011",Bartolomé Salom
Naguanagua,02-23-27,10,1,3,Usuarios activos zona WiFi,1,62,Naguanagua
Guacara,02-24-27,12,3,2,Demarcación de pasos peatonales,2,Completado,Guacara
San Diego,02-25-27,5,1,1,Caída de puente de alta tensión,3,TRUE,San Diego
Bejuma,02-26-27,1,1,4,Ubicación de pozo de agua nuevo,5,"10.1722, -68.2288",Bejuma
Carlos Arvelo,02-27-27,8,3,3,Dosis de vacunas aplicadas,1,120,Güigüe
Diego Ibarra,02-28-27,9,1,2,Reporte de altercado ciudadano,2,Controlado,Aguas Calientes
J. Iturriza,03-01-27,3,1,1,Hurtos de cableado reportados,1,3,Urama
Libertador,03-02-27,1,2,1,Filtramiento en pared de tanque,3,TRUE,Independencia
Los Guayos,03-03-27,4,1,2,Acondicionamiento de comedor escolar,2,En proceso,Los Guayos
Miranda,03-04-27,7,3,3,Viajes realizados por compactadora,1,5,Miranda
Montalbán,03-05-27,12,1,4,Nivelación de hombrillo vía rural,5,"10.2155, -68.3255",Montalbán
San Joaquín,03-06-27,2,2,1,Desbordamiento de aguas servidas,3,TRUE,San Joaquín
Valencia,03-07-27,11,1,2,Chequeo de licencias de conducir,2,Operativo,San Blas
Puerto Cabello,03-08-27,1,3,1,Limpieza de rejillas de captación,4,03-15-27,Patanemo
Naguanagua,03-09-27,3,2,4,Luminaria de vapor de sodio fallida,5,"10.2855, -68.0044",Naguanagua
Guacara,03-10-27,8,1,1,Escasez de analgésicos pediátricos,3,TRUE,Guacara
Valencia,03-11-27,5,2,2,Prueba de aislamiento en celdas,2,Aprobado,San José
Puerto Cabello,03-12-27,11,1,1,Retraso en carga de contenedores,3,TRUE,Unión
Naguanagua,03-13-27,1,3,3,Nivel de succión pozo 6,1,12,Naguanagua
Guacara,03-14-27,12,1,4,Repavimentación sector Tronconero,5,"10.2455, -67.8711",Yagua
San Diego,03-15-27,3,2,2,Sustitución de caja de control,2,Finalizado,San Diego
Bejuma,03-16-27,8,1,1,Falta de insumos odontología,3,FALSE,Canoabo
Carlos Arvelo,03-17-27,7,2,3,Toneladas de plástico segregado,1,2.4,Güigüe
Diego Ibarra,03-18-27,5,3,1,Mantenimiento de seccionador,4,03-25-27,Mariara
J. Iturriza,03-19-27,10,1,4,Antena WiFi Plaza Bolívar,5,"10.4811, -68.1922",Morón
Libertador,03-20-27,9,2,2,Recuperación de patrulla N12,2,En taller,Tocuyito
Los Guayos,03-21-27,1,1,2,Corrección de toma ilegal 2'',2,Efectuado,Los Guayos
Miranda,03-22-27,11,3,1,Habilitación de unidad de refuerzo,4,03-28-27,Miranda
Montalbán,03-23-27,4,1,3,Inscripción escolar rezagados,1,28,Montalbán
San Joaquín,03-24-27,5,2,1,Falla de línea de alta tensión,3,TRUE,San Joaquín
Valencia,03-25-27,12,1,3,Bacheo en frío Av. Bolívar Sur,1,85,Miguel Peña
Puerto Cabello,03-26-27,1,3,4,Ubicación de rotura tubería 12'',5,"10.4744, -68.0155",Goaigoaza
Naguanagua,03-27-27,8,1,2,Campaña de salud visual,2,Iniciada,Naguanagua
Guacara,03-28-27,3,2,1,Cortocircuito en poste alumbrado,3,TRUE,Guacara
San Diego,03-29-27,7,1,3,Compactaciones realizadas/día,1,6,San Diego
Bejuma,03-30-27,5,3,2,Reemplazo de pararrayos,2,Completado,Bejuma
Carlos Arvelo,03-31-27,2,1,1,Obstrucción de empotramiento,3,TRUE,Tacarigua
Diego Ibarra,04-01-27,11,2,3,Frecuencia de paso bus urbano,1,45,Aguas Calientes
J. Iturriza,04-02-27,1,1,2,Ajuste de prensaestopas bomba 3,2,Atendido,Urama
Libertador,04-03-27,8,3,4,Ubicación punto odontológico,5,"10.2155, -68.0211",Independencia
Los Guayos,04-04-27,12,1,1,Fractura de losa de concreto,3,TRUE,Los Guayos
Miranda,04-05-27,3,1,3,Luminarias encendidas sector 1,1,15,Miranda
Montalbán,04-06-27,10,2,1,Falla de módem central,3,TRUE,Montalbán
San Joaquín,04-07-27,1,1,3,Nivel de cloro residual final,1,1.1,San Joaquín
Valencia,04-08-27,5,3,4,Ubicación transformador 75kVA,5,"10.1622, -68.0033",Rafael Urdaneta
Puerto Cabello,04-09-27,6,1,2,Limpieza de maleza en canales,2,Al 40%,Patanemo
Naguanagua,04-10-27,12,1,1,Hundimiento de asfalto por fuga,3,TRUE,Naguanagua
Guacara,04-11-27,1,3,2,Mantenimiento de válvulas red,2,En curso,Ciudad Alianza
San Diego,04-12-27,3,1,4,Lote de fotocélulas instaladas,5,"10.2588, -67.9422",San Diego
Bejuma,04-13-27,4,2,3,Cantidad de docentes activos,1,42,Simón Bolívar
Carlos Arvelo,04-14-27,9,1,1,Robo de material estratégico,3,TRUE,Belén
Diego Ibarra,04-15-27,8,3,2,Abastecimiento de alcohol etílico,2,Crítico,Mariara
J. Iturriza,04-16-27,7,1,4,Celda de vertedero inhabilitada,5,"10.4855, -68.1888",Morón
Libertador,04-17-27,11,2,1,Déficit de cauchos en flota,1,12,Tocuyito
Los Guayos,04-18-27,5,1,3,Sobrecarga de fase neutro,1,15,Los Guayos
Miranda,04-19-27,1,3,1,Reparación de filtración jardín,3,TRUE,Miranda
Montalbán,04-20-27,2,1,2,Limpieza de boca de visita,2,Finalizado,Montalbán
San Joaquín,04-21-27,12,3,3,Metros de asfalto en frío,1,10,San Joaquín
Valencia,04-22-27,10,1,1,Interrupción de fibra por viento,3,TRUE,Catedral
Puerto Cabello,04-23-27,3,2,2,Pintura de postes de alumbrado,2,Iniciado,Juan José Flores
Naguanagua,04-24-27,1,1,4,Punto de muestreo bacteriológico,5,"10.2844, -68.0122",Naguanagua
Guacara,04-25-27,5,3,1,Instalación de cortacorrientes,3,TRUE,Guacara
San Diego,04-26-27,8,1,2,Jornada de medicina interna,2,Exitosa,San Diego
Bejuma,04-27-27,3,1,3,Luminarias recuperadas plaza,1,12,Bejuma
Carlos Arvelo,04-28-27,12,1,1,Cierre de vía por derrumbe,3,TRUE,Güigüe
Diego Ibarra,04-29-27,1,3,3,Nivel de estanque elevado,1,85,Mariara
J. Iturriza,04-30-27,4,2,4,Ubicación de escuela básica,5,"10.4822, -68.1900",Morón
Libertador,05-01-27,5,1,2,Mantenimiento de transformador,2,Programado,Independencia
Los Guayos,05-02-27,9,3,1,Despliegue de seguridad nocturno,4,05-05-27,Los Guayos
Miranda,05-03-27,7,1,3,Recolección de escombros (m3),1,15,Miranda
Montalbán,05-04-27,1,2,1,Fuga en aducción de 6'',3,TRUE,Montalbán
San Joaquín,05-05-27,11,1,2,Inspección de paradas bus,2,Completado,San Joaquín
Valencia,05-06-27,3,3,4,Caja de control alumbrado nueva,5,"10.1588, -68.0044",Santa Rosa
Puerto Cabello,05-07-27,5,1,1,Falla de pararrayos subestación,3,TRUE,Borburata
Naguanagua,05-08-27,1,3,3,Litros por segundo entregados,1,165,Naguanagua
Guacara,05-09-27,12,1,2,Escarificación de pavimento,2,Al 50%,Yagua
